開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,1R,3,メイショウアツイタ,1000.0,3位,1000.0,1位,1000.0,2位
中山,7R,8,ピードモント,66.0,3位,77.0,2位,77.0,2位
中山,7R,10,マイネルオランチア,67.0,1位,78.0,1位,78.0,1位
中山,8R,12,チェルシー,74.0,1位,92.0,1位,92.0,1位
中山,11R,3,ドロップオブライト,93.0,3位,108.0,3位,108.0,2位
阪神,12R,2,エイシンマールス,80.0,3位,90.0,3位,90.0,3位
阪神,12R,8,ハグレジョー,91.0,1位,102.0,1位,102.0,1位
札幌,3R,4,アイビーミャーオ,74.0,1位,87.0,1位,87.0,1位
札幌,3R,5,メイショウマドンナ,70.0,2位,81.0,2位,81.0,2位
札幌,4R,5,メイショウセンドウ,74.0,1位,85.0,1位,85.0,1位
札幌,6R,8,マンサニージャ,82.0,1位,93.0,1位,93.0,1位
札幌,7R,6,ジェルブロア,83.0,2位,96.0,1位,96.0,1位
札幌,9R,5,メイショウテンク,89.0,2位,94.0,3位,94.0,3位
札幌,9R,6,ハルフロンティア,90.0,1位,95.0,2位,95.0,1位
札幌,9R,9,マイネルシンベリン,89.0,3位,96.0,1位,95.0,2位
札幌,12R,3,ミルボナー,81.0,1位,88.0,2位,88.0,1位
札幌,12R,6,サウンドルーチェ,80.0,2位,87.0,3位,87.0,2位
