開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,7R,8,スプランドゥール,83.0,2位,91.0,2位,91.0,3位
東京,8R,3,タイキフロリゼル,1000.0,3位,1000.0,1位,1000.0,1位
東京,9R,9,トーホウキザン,90.0,3位,96.0,3位,96.0,3位
東京,9R,12,サノノワンダー,97.0,1位,101.0,2位,101.0,2位
東京,10R,3,ユハンヌス,96.0,2位,106.0,3位,106.0,2位
東京,11R,4,コスタノヴァ,106.0,2位,127.0,1位,127.0,1位
京都,7R,8,アートレスマインド,88.0,1位,91.0,3位,90.0,2位
京都,8R,5,ステラクラウン,87.0,3位,95.0,2位,95.0,1位
京都,10R,9,シェイクユアハート,102.0,2位,109.0,2位,109.0,3位
福島,2R,15,ゴッドカインド,82.0,2位,82.0,1位,82.0,2位
福島,4R,5,カレンデュラ,74.0,1位,78.0,2位,78.0,1位
福島,7R,14,アーサーズウェイン,87.0,1位,94.0,3位,84.0,3位
福島,8R,2,マイファミリー,84.0,3位,99.0,1位,99.0,1位
福島,9R,5,ケイツークローン,88.0,2位,101.0,1位,93.0,2位
福島,11R,8,ブレーザー,96.0,1位,95.0,3位,95.0,3位
福島,11R,9,ミユキアイラブユー,93.0,3位,98.0,2位,98.0,2位
福島,12R,1,ビアフォーナウ,82.0,2位,92.0,3位,92.0,1位
