開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,6R,3,ウエヲムイテゴラン,78.0,3位,89.0,2位,85.0,3位
東京,6R,4,セギレエルビエント,87.0,1位,99.0,1位,99.0,1位
東京,8R,2,ニシノスピカ,86.0,3位,96.0,1位,96.0,2位
東京,8R,12,ルークススペイ,90.0,1位,96.0,2位,96.0,3位
東京,9R,4,ジュンツバメガエシ,87.0,3位,98.0,1位,98.0,1位
東京,10R,10,チェルビアット,95.0,3位,107.0,2位,107.0,3位
東京,11R,3,サルヴァトーレ,100.0,2位,109.0,3位,109.0,3位
東京,11R,13,バトルクライ,104.0,1位,112.0,1位,118.0,1位
東京,12R,7,ベストミーエヴァー,98.0,1位,100.0,2位,100.0,1位
京都,7R,2,モズケイスター,86.0,1位,93.0,3位,93.0,3位
京都,7R,12,アメリカンチーフ,85.0,2位,94.0,1位,94.0,1位
京都,7R,13,ヴリトラハン,85.0,3位,94.0,2位,94.0,2位
京都,8R,1,クリノフィガロ,91.0,3位,98.0,2位,98.0,2位
京都,10R,2,カネトシゴウト,93.0,3位,102.0,2位,102.0,1位
