開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,6R,10,タイセイピューマ,76.0,3位,91.0,2位,88.0,3位
中山,6R,14,チャロ,82.0,1位,89.0,3位,89.0,2位
中山,7R,10,メリークリスマス,84.0,1位,94.0,2位,94.0,2位
中山,9R,6,カズミクラーシュ,90.0,2位,98.0,2位,98.0,2位
中山,9R,8,メタルスピード,90.0,3位,98.0,3位,103.0,1位
中山,10R,2,リバートゥルー,99.0,1位,105.0,1位,105.0,1位
中山,11R,1,コスモキュランダ,101.0,3位,110.0,2位,111.0,1位
阪神,8R,5,ハイウェイスター,82.0,1位,91.0,1位,73.0,1位
阪神,9R,8,アスティスプマンテ,91.0,1位,100.0,1位,92.0,2位
阪神,11R,8,パッションリッチ,91.0,3位,101.0,2位,101.0,2位
阪神,12R,6,ホウショウマリス,91.0,2位,105.0,1位,105.0,1位
