開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,1R,1,イッツソーブライト,1034,2位,1037.0,2位,1037.0,2位
中山,1R,3,プラチナムディスク,1057,1位,1069.0,1位,1069.0,1位
中山,2R,1,イサチルクイーン,1061,1位,1066.0,1位,1066.0,1位
中山,3R,2,アラビアンドリーム,1067,1位,1067.0,1位,1067.0,1位
中山,3R,3,グスタフ,1049,2位,1049.0,2位,1049.0,3位
中山,4R,3,ネイチャーシップ,1000,3位,1000.0,1位,1000.0,1位
中山,6R,1,テイラーテソーロ,1044,3位,1038.0,3位,1060.0,2位
中山,6R,2,アルデツヨシ,1071,2位,1066.0,2位,1066.0,1位
中山,8R,2,カフェアローロ,1084,3位,1095.0,1位,1095.0,1位
中山,8R,3,タイヨウフレア,1085,2位,1084.0,3位,1084.0,2位
中山,9R,1,ジュノー,1092,1位,1102.0,1位,1096.0,3位
中山,9R,2,レッドアトレーヴ,1089,2位,1099.0,2位,1099.0,1位
中山,9R,3,サムハンター,1085,3位,1099.0,3位,1099.0,2位
中山,10R,1,ワールズコライド,1096,2位,1105.0,2位,1105.0,2位
中山,10R,2,オーブルクール,1097,1位,1106.0,1位,1106.0,1位
中山,11R,1,ブラックハヤテ,1081,1位,1095.0,1位,1095.0,1位
中山,11R,2,ポッドクロス,1080,2位,1083.0,3位,1079.0,3位
中山,11R,3,ステラスペース,1079,3位,1094.0,2位,1094.0,2位
中山,12R,1,エーデルハイ,1066,1位,1072.0,1位,1059.0,1位
京都,1R,2,モンターニュドネガ,1040,3位,1040.0,2位,1040.0,2位
京都,1R,3,メイショウイブキ,1066,1位,1077.0,1位,1058.0,1位
京都,4R,1,ネメス,1067,1位,1072.0,1位,1060.0,3位
京都,4R,2,マナボニート,1062,3位,1062.0,3位,1062.0,2位
京都,4R,3,メイショウテリオス,1066,2位,1070.0,2位,1070.0,1位
京都,6R,3,ジーティーウタマロ,1042,3位,1042.0,3位,1042.0,1位
京都,7R,1,セーデルマンランド,1074,3位,1052.0,2位,1052.0,3位
京都,7R,3,ワイドクリーガー,1075,2位,1072.0,1位,1071.0,2位
京都,8R,2,アットアブラスト,1087,2位,1099.0,1位,1099.0,1位
京都,8R,3,ジェロニモス,1091,1位,1092.0,2位,1092.0,2位
京都,9R,1,ポートデラメール,1099,1位,1101.0,1位,1097.0,1位
京都,9R,2,スニーカースキル,1084,3位,1093.0,2位,1093.0,2位
京都,9R,3,トゥロン,1088,2位,1093.0,3位,1093.0,3位
京都,10R,1,キングブルー,1090,1位,1095.0,2位,1090.0,2位
京都,10R,3,ワンダースティング,1087,2位,1098.0,1位,1093.0,1位
京都,11R,1,マイネルケレリウス,1094,2位,1094.0,3位,1108.0,2位
京都,11R,2,サトノグランツ,1104,1位,1116.0,1位,1116.0,1位
京都,11R,3,ドクタードリトル,1092,3位,1107.0,2位,1107.0,3位
京都,12R,1,レッドフェルメール,1091,1位,1099.0,1位,1084.0,3位
京都,12R,2,フラッシングレート,1083,3位,1087.0,3位,1090.0,1位
京都,12R,3,サク,1088,2位,1096.0,2位,1090.0,2位
