開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
福島,1R,3,シュハリ,1000.0,3位,1000.0,1位,1000.0,1位
福島,2R,12,ウインビギニング,80.0,1位,88.0,1位,88.0,1位
福島,8R,1,ゲンジ,84.0,3位,99.0,1位,92.0,3位
福島,8R,6,テイキットイージー,85.0,2位,97.0,2位,97.0,1位
福島,12R,6,カツノテンス,75.0,2位,79.0,1位,79.0,1位
福島,12R,8,スターランウェイ,76.0,1位,76.0,3位,76.0,3位
小倉,4R,15,ハイビッグゴールド,54.0,2位,43.0,2位,43.0,3位
小倉,7R,9,ミライハーモニー,82.0,1位,93.0,2位,83.0,3位
小倉,9R,3,ショウナンガチ,95.0,2位,100.0,2位,100.0,1位
小倉,9R,5,サラトガチップス,96.0,1位,98.0,3位,98.0,2位
小倉,10R,7,テーオーライマン,88.0,3位,109.0,1位,109.0,1位
小倉,12R,6,チャチャピンク,83.0,1位,89.0,3位,89.0,2位
小倉,12R,12,ブラックレジェンド,78.0,3位,96.0,1位,96.0,1位
函館,2R,1,メイショウタイザン,67.0,1位,71.0,3位,70.0,3位
函館,2R,7,マルシュボヌール,60.0,3位,75.0,2位,74.0,2位
函館,4R,3,フォーチュンローズ,79.0,3位,84.0,2位,84.0,2位
函館,6R,14,マテンロウオリジン,79.0,3位,91.0,1位,91.0,1位
函館,8R,4,クレセントウイング,84.0,1位,96.0,2位,96.0,1位
函館,9R,3,ゴーゴータカシ,86.0,1位,99.0,1位,92.0,1位
函館,10R,2,コパノエビータ,80.0,3位,95.0,1位,95.0,1位
函館,10R,6,ユージュアーナ,82.0,2位,89.0,3位,77.0,3位
