開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,2R,2,ジャメビュ,63.0,2位,57.0,2位,57.0,3位
東京,2R,6,トワイライトビュー,68.0,1位,61.0,1位,77.0,1位
東京,3R,4,カシマライフウ,74.0,1位,80.0,1位,80.0,1位
東京,4R,12,トランスマーレ,75.0,1位,85.0,1位,85.0,1位
東京,5R,6,ムテキシャチョウ,73.0,1位,88.0,1位,88.0,1位
東京,7R,11,ヘインズポイント,85.0,3位,92.0,1位,92.0,1位
東京,7R,13,フォースミラクル,86.0,1位,91.0,2位,89.0,3位
東京,8R,11,アロンズロッド,93.0,3位,105.0,2位,105.0,1位
東京,9R,3,ガンウルフ,95.0,3位,106.0,2位,106.0,2位
東京,9R,4,ジョディーズマロン,98.0,2位,106.0,3位,106.0,3位
京都,1R,2,グロリアス,62.0,1位,77.0,1位,77.0,1位
京都,1R,8,ウンナターシャ,62.0,2位,76.0,3位,76.0,2位
京都,2R,16,カーリキュー,68.0,2位,81.0,3位,81.0,1位
京都,3R,11,グランワールド,64.0,2位,76.0,1位,76.0,1位
京都,4R,2,アルマーザアミール,1000.0,2位,1000.0,1位,1000.0,2位
京都,4R,3,コンテナワールド,1000.0,3位,1000.0,2位,1000.0,3位
京都,5R,1,エイシンビーコン,81.0,1位,92.0,1位,92.0,1位
京都,7R,1,ロードガレリア,95.0,1位,102.0,1位,95.0,3位
京都,7R,3,レジェンドシップ,92.0,3位,98.0,3位,102.0,1位
京都,7R,6,ロットブラータ,94.0,2位,102.0,2位,102.0,2位
京都,8R,2,ステラクラウン,92.0,1位,102.0,1位,95.0,1位
京都,12R,18,テーオーダヴィンチ,98.0,1位,106.0,2位,101.0,3位
