開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
福島,3R,6,ニンジャトットリ,68.0,1位,73.0,1位,73.0,1位
福島,3R,15,セントリアン,64.0,3位,65.0,2位,65.0,2位
福島,4R,6,バランソワール,73.0,2位,86.0,2位,86.0,2位
福島,4R,12,リーデレクオーレ,71.0,3位,85.0,3位,85.0,3位
福島,6R,5,カシマライフウ,73.0,1位,78.0,2位,78.0,2位
福島,6R,12,アデルフィー,71.0,2位,78.0,3位,78.0,3位
福島,9R,4,テイキットイージー,84.0,2位,97.0,2位,97.0,1位
小倉,1R,1,フジフォンテ,1000.0,1位,1000.0,1位,1000.0,1位
小倉,1R,3,アドアプローズ,1000.0,3位,1000.0,2位,1000.0,2位
小倉,3R,7,メイショウマドンナ,65.0,2位,75.0,3位,75.0,3位
小倉,3R,14,メイワキラリ,59.0,3位,79.0,1位,79.0,1位
小倉,4R,3,トーアモルペウス,1000.0,3位,1000.0,1位,1000.0,3位
小倉,6R,6,キープシャイニング,77.0,1位,100.0,2位,100.0,2位
小倉,6R,12,キングズテイル,77.0,2位,106.0,1位,106.0,1位
小倉,8R,1,ダノンアトラス,83.0,1位,97.0,2位,97.0,1位
小倉,8R,6,ビヨンドザドリーム,82.0,3位,90.0,3位,93.0,2位
小倉,10R,6,タマモナポリ,91.0,1位,99.0,1位,99.0,1位
小倉,10R,8,ホウショウマリス,89.0,3位,98.0,2位,98.0,2位
小倉,11R,2,トーラスシャイン,92.0,2位,105.0,2位,105.0,2位
小倉,11R,5,コウセキ,96.0,1位,106.0,1位,106.0,1位
小倉,12R,4,チャチャピンク,82.0,2位,89.0,3位,89.0,3位
小倉,12R,7,ブラックレジェンド,80.0,3位,96.0,1位,96.0,1位
小倉,12R,11,ケンフィールド,86.0,1位,90.0,2位,90.0,2位
函館,2R,5,チュラヴェール,68.0,2位,70.0,2位,70.0,2位
函館,2R,7,ドリームガッサン,69.0,1位,77.0,1位,77.0,1位
函館,2R,11,マーマレードスカイ,59.0,3位,67.0,3位,67.0,3位
函館,3R,11,ポップアップ,68.0,3位,70.0,1位,70.0,2位
函館,5R,4,コウソクユノ,68.0,1位,82.0,2位,82.0,2位
函館,5R,14,メイショウセンドウ,65.0,3位,78.0,3位,78.0,3位
函館,6R,2,トリニタリオ,78.0,1位,82.0,3位,82.0,2位
函館,6R,11,ジュラトリー,77.0,2位,84.0,2位,84.0,1位
函館,10R,5,フードマン,93.0,1位,98.0,1位,93.0,3位
函館,12R,4,ルージュナリッシュ,82.0,3位,92.0,3位,89.0,2位
