開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,1R,10,カーボフリオ,51.0,3位,62.0,3位,62.0,3位
東京,2R,5,アオイミズホ,65.0,1位,81.0,1位,81.0,1位
東京,2R,9,アミナス,61.0,3位,72.0,3位,72.0,3位
東京,5R,4,ガミーヌ,69.0,1位,62.0,1位,70.0,3位
東京,6R,4,イブキ,83.0,1位,88.0,2位,88.0,1位
東京,8R,11,ファンタイムギフト,90.0,1位,100.0,1位,100.0,1位
東京,8R,15,ハクシンブライアン,86.0,2位,94.0,3位,94.0,3位
東京,10R,12,レーティッシュ,85.0,3位,97.0,2位,97.0,3位
東京,11R,2,バレンタインガール,95.0,3位,105.0,3位,105.0,1位
京都,2R,10,ビナハイバン,52.0,2位,74.0,1位,74.0,1位
京都,3R,1,アラビアンジョイ,74.0,1位,91.0,2位,91.0,2位
京都,4R,7,ナムラヴンダー,72.0,2位,66.0,2位,76.0,2位
京都,6R,5,ニホンピロカラット,83.0,1位,90.0,2位,98.0,1位
京都,7R,2,ダノンクロム,85.0,3位,91.0,3位,102.0,1位
京都,8R,3,メイショウアツイタ,1000.0,3位,1000.0,1位,1000.0,2位
新潟,5R,11,コーディアリー,69.0,2位,74.0,3位,65.0,1位
新潟,6R,13,コンフィアンサ,79.0,1位,75.0,1位,75.0,1位
新潟,7R,4,クインズシャウラ,73.0,3位,88.0,3位,88.0,1位
新潟,8R,6,ソナタン,80.0,3位,83.0,3位,83.0,2位
新潟,8R,9,ファルコンミノル,84.0,2位,91.0,2位,91.0,1位
新潟,10R,9,カレンワッツアップ,89.0,2位,97.0,1位,97.0,1位
新潟,12R,11,ワンコールアウェイ,92.0,1位,94.0,1位,87.0,1位
