開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,1R,5,ヴィスクレス,66.0,3位,75.0,1位,75.0,2位
東京,1R,15,ツクバヴァンガード,70.0,1位,69.0,2位,69.0,3位
東京,2R,4,ウインガネーシャ,64.0,1位,73.0,2位,73.0,3位
東京,3R,3,レヴェランジェ,80.0,1位,87.0,1位,87.0,1位
東京,3R,9,ヤマニンアレシス,76.0,2位,85.0,2位,85.0,2位
東京,6R,11,ローズマイスター,81.0,2位,90.0,1位,91.0,2位
東京,7R,1,ウインドラート,87.0,1位,90.0,3位,94.0,3位
東京,8R,4,ハクシンブライアン,88.0,1位,94.0,1位,94.0,1位
東京,8R,6,コーシューパンジャ,85.0,2位,93.0,2位,93.0,2位
東京,10R,6,バレンタインガール,97.0,2位,105.0,2位,105.0,1位
阪神,2R,16,モズジェネラル,65.0,1位,83.0,3位,83.0,3位
阪神,4R,15,ミエノクラウン,76.0,1位,86.0,1位,86.0,1位
阪神,6R,7,グランデスフィーダ,80.0,1位,94.0,2位,88.0,1位
阪神,8R,1,ハギノコラソン,83.0,2位,94.0,3位,94.0,2位
阪神,8R,8,ヴァンアグレアブル,88.0,1位,99.0,1位,99.0,1位
阪神,9R,3,ヒーローインチーフ,88.0,2位,104.0,1位,87.0,3位
阪神,10R,5,エポックヴィーナス,96.0,3位,106.0,1位,106.0,1位
阪神,10R,10,アウフヘーベン,101.0,1位,106.0,2位,106.0,2位
阪神,10R,12,セブンマジシャン,97.0,2位,106.0,3位,106.0,3位
阪神,11R,9,コスモキュランダ,105.0,3位,110.0,3位,116.0,1位
阪神,12R,12,ノボリショウリュウ,94.0,2位,107.0,1位,107.0,2位
函館,7R,3,キャリーグレイス,81.0,1位,96.0,1位,86.0,2位
函館,10R,12,ジュンラトゥール,89.0,1位,108.0,1位,44.0,3位
函館,11R,1,ハリウッドメモリー,89.0,2位,104.0,1位,101.0,1位
函館,12R,3,ベイビールビオ,73.0,2位,91.0,1位,91.0,1位
函館,12R,4,グレイスフルマーチ,73.0,3位,88.0,2位,88.0,2位
