開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,3R,13,サザンテイオー,70.0,1位,81.0,2位,81.0,2位
東京,6R,10,キョウエイフロイデ,87.0,1位,96.0,2位,96.0,2位
東京,7R,8,ムーランブルー,80.0,3位,88.0,2位,90.0,3位
東京,8R,13,チュウワチーフ,89.0,3位,100.0,2位,100.0,2位
東京,10R,5,アスクセクシーモア,95.0,2位,105.0,2位,105.0,2位
東京,11R,8,コンクイスタ,105.0,2位,114.0,1位,114.0,1位
東京,12R,17,サクセスカラー,92.0,2位,101.0,3位,101.0,2位
京都,6R,12,ニホンピロカラット,85.0,3位,98.0,2位,98.0,1位
京都,7R,7,ロットブラータ,88.0,1位,92.0,3位,92.0,3位
京都,7R,17,テイクザクラウン,88.0,2位,95.0,1位,95.0,2位
京都,8R,14,クリノフィガロ,90.0,2位,98.0,1位,98.0,1位
京都,9R,3,ヨウシタンレイ,89.0,2位,99.0,1位,97.0,3位
京都,10R,7,プロミシングスター,101.0,1位,112.0,1位,112.0,1位
京都,10R,13,フェルヴェンテ,98.0,2位,105.0,2位,104.0,3位
